,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,33161999000000.0,19240982000000.0,-16396740000000.0,9054614000000.0,
Repurchase Of Capital Stock,-8189263000000.0,-1811775000000.0,,,
Repayment Of Debt,-2852971000000.0,-1364508000000.0,-1219579000000.0,-9847614000000.0,
Issuance Of Debt,7462350000000.0,6276300000000.0,2500112000000.0,271997000000.0,
Capital Expenditure,-52153149000000.0,-53741639000000.0,-60534167000000.0,-53126732000000.0,
End Cash Position,57856378000000.0,53705579000000.0,69080893000000.0,49680710000000.0,
Beginning Cash Position,53705579000000.0,69080893000000.0,49680710000000.0,39031415000000.0,
Effect Of Exchange Rate Changes,825897000000.0,4821010000000.0,792785000000.0,-539198000000.0,
Changes In Cash,3324902000000.0,-20196324000000.0,18607398000000.0,11188493000000.0,
Other Cash Adjustment Inside Changein Cash,,,-14153000000.0,,139000000.0
Financing Cash Flow,-13478040000000.0,-7797243000000.0,-8593059000000.0,-19390049000000.0,
Net Other Financing Charges,-973000000.0,-8511000000.0,-9118000000.0,-6000000.0,
Cash Dividends Paid,-9897183000000.0,-10888749000000.0,-9864474000000.0,-9814426000000.0,
Net Common Stock Issuance,-8189263000000.0,-1811775000000.0,,,
Common Stock Payments,-8189263000000.0,-1811775000000.0,,,
Net Issuance Payments Of Debt,4609379000000.0,4911792000000.0,1280533000000.0,-9575617000000.0,
Net Short Term Debt Issuance,4655349000000.0,5871346000000.0,2145400000000.0,-8339149000000.0,
Short Term Debt Payments,,,,-8339149000000.0,-2616943000000.0
Short Term Debt Issuance,4655349000000.0,5871346000000.0,2145400000000.0,,
Net Long Term Debt Issuance,-45970000000.0,-959554000000.0,-864867000000.0,-1236468000000.0,
Long Term Debt Payments,-2852971000000.0,-1364508000000.0,-1219579000000.0,-1508465000000.0,
Long Term Debt Issuance,2807001000000.0,404954000000.0,354712000000.0,271997000000.0,
Investing Cash Flow,-68512206000000.0,-85381702000000.0,-16922817000000.0,-31602804000000.0,
Net Other Investing Changes,1495866000000.0,118677000000.0,-913897000000.0,-413035000000.0,
Net Investment Purchase And Sale,-14986356000000.0,-31810112000000.0,44816906000000.0,22621731000000.0,
Sale Of Investment,5524760000000.0,5420516000000.0,50575239000000.0,27211416000000.0,
Purchase Of Investment,-20511116000000.0,-37230628000000.0,-5758333000000.0,-4589685000000.0,
Net Business Purchase And Sale,-3031949000000.0,-120688000000.0,-401744000000.0,-926108000000.0,
Sale Of Business,424736000000.0,33178000000.0,33457000000.0,13233000000.0,
Purchase Of Business,-3456685000000.0,-153866000000.0,-435201000000.0,-939341000000.0,
Net Intangibles Purchase And Sale,-4617416000000.0,-2319415000000.0,-2911131000000.0,-3672842000000.0,
Sale Of Intangibles,13554000000.0,15869000000.0,11744000000.0,23462000000.0,
Purchase Of Intangibles,-4630970000000.0,-2335284000000.0,-2922875000000.0,-3696304000000.0,
Net PPE Purchase And Sale,-47372351000000.0,-51250164000000.0,-57512951000000.0,-49212550000000.0,
Sale Of PPE,149828000000.0,156191000000.0,98341000000.0,217878000000.0,
Purchase Of PPE,-47522179000000.0,-51406355000000.0,-57611292000000.0,-49430428000000.0,
Operating Cash Flow,85315148000000.0,72982621000000.0,44137427000000.0,62181346000000.0,
Taxes Refund Paid,-7137295000000.0,-6450044000000.0,-6620950000000.0,-11498895000000.0,
Interest Received Cfo,4680553000000.0,4008359000000.0,4786010000000.0,2136795000000.0,
Interest Paid Cfo,-469730000000.0,-675049000000.0,-844691000000.0,-714543000000.0,
Dividend Received Cfo,253105000000.0,268482000000.0,269169000000.0,529421000000.0,
Change In Working Capital,-9613906000000.0,-1567557000000.0,-5458745000000.0,-16998948000000.0,
Change In Other Current Liabilities,-118435000000.0,1153605000000.0,100384000000.0,-2243171000000.0,
Change In Other Current Assets,-1171125000000.0,133773000000.0,-225688000000.0,-1215426000000.0,
Change In Accrued Expense,3680388000000.0,-156596000000.0,-3704020000000.0,919271000000.0,
Change In Payable,-3256977000000.0,-1538517000000.0,1103966000000.0,-6741956000000.0,
Change In Prepaid Assets,78299000000.0,-369269000000.0,-390636000000.0,3506000000.0,
Change In Inventory,-3590702000000.0,2541364000000.0,-3206615000000.0,-13311072000000.0,
Change In Receivables,-2534892000000.0,-3138734000000.0,235651000000.0,6332085000000.0,
Other Non Cash Items,-3314573000000.0,-3024452000000.0,-2853538000000.0,-1075156000000.0,
Provisionand Write Offof Assets,144508000000.0,61705000000.0,62964000000.0,8784000000.0,
Deferred Tax,4274666000000.0,3078383000000.0,-4480835000000.0,-9213603000000.0,
Depreciation And Amortization,46926592000000.0,42630822000000.0,38666559000000.0,39107659000000.0,
Amortization Cash Flow,3320852000000.0,2980840000000.0,3134148000000.0,3155561000000.0,
Depreciation,43605740000000.0,39649982000000.0,35532411000000.0,35952098000000.0,
Pension And Employee Benefit Expense,1798189000000.0,1571338000000.0,1157422000000.0,1440099000000.0,
Gain Loss On Investment Securities,-122972000000.0,-134952000000.0,-164203000000.0,-414601000000.0,
Gain Loss On Sale Of PPE,-58536000000.0,42371000000.0,-18864000000.0,-97867000000.0,
Net Income From Continuing Operations,45206805000000.0,34451351000000.0,15487100000000.0,55654077000000.0,
