,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,30219728891.932095,-7643351884.3752,-22864080000.0,-25405600000.0
Tax Rate For Calcs,0.086389,0.082025,0.24,0.275
Normalized EBITDA,96664037000000.0,81157657000000.0,50698344000000.0,86403532000000.0
Total Unusual Items,349809000000.0,-93183000000.0,-95267000000.0,-92384000000.0
Total Unusual Items Excluding Goodwill,349809000000.0,-93183000000.0,-95267000000.0,-92384000000.0
Net Income From Continuing Operation Net Minority Interest,44260956000000.0,33621363000000.0,14473401000000.0,54730018000000.0
Reconciled Depreciation,46926592000000.0,42630822000000.0,38666559000000.0,39107659000000.0
Reconciled Cost Of Revenue,202235513000000.0,186562268000000.0,180388580000000.0,190041770000000.0
EBITDA,97013846000000.0,81064474000000.0,50603077000000.0,86311148000000.0
EBIT,50087254000000.0,38433652000000.0,11936518000000.0,47203489000000.0
Net Interest Income,3987311000000.0,3915210000000.0,3427769000000.0,1957464000000.0
Interest Expense,605783000000.0,903918000000.0,930253000000.0,763015000000.0
Interest Income,4593094000000.0,4819128000000.0,4358022000000.0,2720479000000.0
Normalized Income,43941366728891.93,33706902648115.625,14545803920000.0,54796996400000.0
Net Income From Continuing And Discontinued Operation,44260956000000.0,33621363000000.0,14473401000000.0,54730018000000.0
Total Expenses,290004887000000.0,268144942000000.0,252368518000000.0,258854730000000.0
Total Operating Income As Reported,43601051000000.0,32725961000000.0,6566976000000.0,43376630000000.0
Diluted Average Shares,6703158564.0,6792194545.0,6791835289.0,6792853171.0
Basic Average Shares,6701128842.0,6792194545.0,6791835289.0,6792853171.0
Diluted EPS,6603.0,4950.0,2131.0,8057.0
Basic EPS,6605.0,4950.0,2131.0,8057.0
Net Income Common Stockholders,44260956000000.0,33621363000000.0,14473401000000.0,54730018000000.0
Net Income,44260956000000.0,33621363000000.0,14473401000000.0,54730018000000.0
Minority Interests,-945849000000.0,-829988000000.0,-1013699000000.0,-924059000000.0
Net Income Including Noncontrolling Interests,45206805000000.0,34451351000000.0,15487100000000.0,55654077000000.0
Net Income Continuous Operations,45206805000000.0,34451351000000.0,15487100000000.0,55654077000000.0
Tax Provision,4274666000000.0,3078383000000.0,-4480835000000.0,-9213603000000.0
Pretax Income,49481471000000.0,37529734000000.0,11006265000000.0,46440474000000.0
Other Non Operating Income Expenses,721394000000.0,458747000000.0,157431000000.0,-34632000000.0
Special Income Charges,-153184000000.0,-258590000000.0,-224513000000.0,-208074000000.0
Other Special Charges,153184000000.0,258590000000.0,224513000000.0,208074000000.0
Net Non Operating Interest Income Expense,3987311000000.0,3915210000000.0,3427769000000.0,1957464000000.0
Interest Expense Non Operating,605783000000.0,903918000000.0,930253000000.0,763015000000.0
Interest Income Non Operating,4593094000000.0,4819128000000.0,4358022000000.0,2720479000000.0
Operating Income,43601051000000.0,32725961000000.0,6566976000000.0,43376630000000.0
Operating Expense,87769374000000.0,81582674000000.0,71979938000000.0,68812960000000.0
Depreciation And Amortization In Income Statement,2553265000000.0,2405725000000.0,2338121000000.0,2239103000000.0
Amortization,813976000000.0,716646000000.0,688786000000.0,664346000000.0
Depreciation Income Statement,1739289000000.0,1689079000000.0,1649335000000.0,1574757000000.0
Research And Development,37740392000000.0,34998142000000.0,28339724000000.0,24919198000000.0
Selling General And Administration,37849252000000.0,35078235000000.0,32678162000000.0,33560956000000.0
Selling And Marketing Expense,30228345000000.0,28340823000000.0,26552163000000.0,27567710000000.0
General And Administrative Expense,7620907000000.0,6737412000000.0,6125999000000.0,5993246000000.0
Gross Profit,131370425000000.0,114308635000000.0,78546914000000.0,112189590000000.0
Cost Of Revenue,202235513000000.0,186562268000000.0,180388580000000.0,190041770000000.0
Total Revenue,333605938000000.0,300870903000000.0,258935494000000.0,302231360000000.0
Operating Revenue,333605938000000.0,300870903000000.0,258935494000000.0,302231360000000.0
