,Apple,Apple,Apple,Apple,Apple,Samsung,Samsung,Samsung,Samsung,Samsung
,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,
2015-01-02,24.21489143371582,24.682223683318185,23.7763515496625,24.67114878668056,212818400.0,20461.587890625,20615.434416118424,20415.433932976975,20615.434416118424,8774950.0
2015-01-05,23.5327205657959,24.064283533005238,23.34667445665828,23.984549003434232,257142000.0,20507.736328125,20553.890273349585,20200.043359961084,20553.890273349585,10139500.0
2015-01-06,23.534936904907227,23.794073292366384,23.173916188735014,23.59695227731193,263188400.0,19923.125,20261.587355212356,19815.432432432433,20230.81805019305,15235500.0
2015-01-07,23.864953994750977,23.964621340157734,23.632394602411782,23.743136848327097,160423600.0,20107.74609375,20169.284719897667,19723.129680327085,19907.745558770086,14322750.0
2015-01-08,24.781885147094727,24.839471554398425,24.075349491065445,24.1927376224361,237458000.0,20215.42578125,20600.041949082002,20153.88719439688,20600.041949082002,14477600.0
2015-01-09,24.808467864990234,25.083108045057088,24.409795273125567,24.954646688812712,214798000.0,20215.42578125,20338.502954956242,20215.42578125,20215.42578125,9312400.0
2015-01-12,24.197175979614258,24.945792806630894,24.09750865378446,24.939148543547873,198603200.0,20246.201171875,20292.35512591423,20015.431401678856,20200.04721783577,8325400.0
2015-01-13,24.41200828552246,24.98343838331618,24.121864292597174,24.680004178722225,268367600.0,20600.05078125,20615.435434559375,20000.049302184467,20215.434448515683,12293400.0
2015-01-14,24.318992614746094,24.471815731969652,24.031062161775676,24.1506639642499,195826400.0,20692.357421875,20846.203945457713,20538.510898292287,20600.049507725373,14332250.0
2015-01-15,23.658966064453125,24.376575123869163,23.62352943536436,24.36328659918488,240056000.0,20523.126953125,20753.896746450995,20446.203688683003,20692.358134897397,14103900.0
2015-01-16,23.475133895874023,23.82729501276512,23.300160996132067,23.705477902251076,314053200.0,20246.201171875,20523.124896110374,20200.04721783577,20523.124896110374,13568500.0
2015-01-19,,,,,,20661.58984375,20753.897765613365,20307.74280994043,20446.20469273548,6672950.0
